,No.1 R_Z,No.2 R_Z,No.3 R_Z,No.4 R_Z,No.5 R_Z,No.6 R_Z,No.7 R_Z,No.8 R_Z,No.9 R_Z,No.10 R_Z
91, -24.6, -24.6, -24.5, -24.5, -24.5, -24.7, -24.7, -24.7, -24.7, -24.7
92, -24.6, -24.6, -24.5, -24.5, -24.5, -24.7, -24.7, -24.7, -24.7, -24.7
93, -24.6, -24.6, -24.4, -24.5, -24.5, -24.7, -24.7, -24.7, -24.7, -24.7
94, -24.6, -24.6, -24.4, -24.5, -24.5, -24.7, -24.7, -24.7, -24.7, -24.7
95, -24.6, -24.6, -24.5, -24.5, -24.5, -24.7, -24.7, -24.7, -24.7, -24.7
96, -24.6, -24.6, -24.5, -24.5, -24.5, -24.7, -24.7, -24.7, -24.7, -24.7
97, -24.6, -24.6, -24.5, -24.5, -24.5, -24.7, -24.7, -24.7, -24.7, -24.7
98, -24.6, -24.6, -24.5, -24.5, -24.5, -24.7, -24.7, -24.7, -24.7, -24.7
99, -24.6, -24.6, -24.5, -24.5, -24.5, -24.7, -24.7, -24.7, -24.8, -24.7
100, -24.6, -24.6, -24.5, -24.5, -24.5, -24.7, -24.7, -24.7, -24.8, -24.7
101, -24.6, -24.6, -24.5, -24.5, -24.5, -24.7, -24.7, -24.7, -24.8, -24.7
102, -24.6, -24.6, -24.5, -24.5, -24.5, -24.7, -24.7, -24.7, -24.8, -24.7
103, -24.6, -24.6, -24.5, -24.5, -24.5, -24.7, -24.7, -24.7, -24.8, -24.7
104, -24.6, -24.6, -24.5, -24.5, -24.5, -24.7, -24.7, -24.7, -24.8, -24.7
105, -24.6, -24.6, -24.5, -24.5, -24.5, -24.7, -24.7, -24.7, -24.8, -24.7
106, -24.6, -24.6, -24.5, -24.5, -24.5, -24.6, -24.7, -24.7, -24.8, -24.6
107, -24.6, -24.6, -24.5, -24.5, -24.5, -24.6, -24.7, -24.7, -24.8, -24.6
108, -24.6, -24.6, -24.5, -24.5, -24.5, -24.6, -24.7, -24.7, -24.8, -24.6
109, -24.6, -24.6, -24.5, -24.5, -24.5, -24.6, -24.7, -24.7, -24.8, -24.6
110, -24.6, -24.6, -24.5, -24.5, -24.5, -24.6, -24.7, -24.7, -24.8, -24.6
111, -24.6, -24.6, -24.5, -24.5, -24.5, -24.6, -24.7, -24.7, -24.8, -24.6
112, -24.6, -24.6, -24.5, -24.5, -24.5, -24.6, -24.7, -24.7, -24.7, -24.6
113, -24.6, -24.6, -24.5, -24.5, -24.5, -24.6, -24.7, -24.7, -24.7, -24.6
114, -24.6, -24.6, -24.5, -24.5, -24.5, -24.6, -24.7, -24.7, -24.7, -24.6
115, -24.6, -24.6, -24.5, -24.5, -24.5, -24.6, -24.7, -24.7, -24.7, -24.6
116, -24.6, -24.6, -24.6, -24.5, -24.5, -24.6, -24.6, -24.7, -24.7, -24.6
117, -24.6, -24.6, -24.6, -24.5, -24.6, -24.6, -24.6, -24.7, -24.7, -24.6
118, -24.6, -24.6, -24.6, -24.5, -24.6, -24.6, -24.6, -24.7, -24.7, -24.6
119, -24.6, -24.6, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
120, -24.6, -24.6, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
121, -24.6, -24.5, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
122, -24.6, -24.5, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
123, -24.6, -24.5, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
124, -24.6, -24.5, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
125, -24.6, -24.5, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
126, -24.6, -24.5, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
127, -24.6, -24.4, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
128, -24.6, -24.4, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
129, -24.6, -24.4, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.6, -24.7
130, -24.6, -24.4, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.6, -24.7
131, -24.6, -24.4, -24.6, -24.6, -24.6, -24.6, -24.7, -24.7, -24.6, -24.7
132, -24.6, -24.4, -24.7, -24.6, -24.6, -24.6, -24.7, -24.7, -24.6, -24.7
133, -24.6, -24.4, -24.7, -24.6, -24.6, -24.6, -24.7, -24.7, -24.6, -24.7
134, -24.6, -24.4, -24.7, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
135, -24.6, -24.4, -24.7, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
136, -24.6, -24.5, -24.7, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
137, -24.6, -24.5, -24.7, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
138, -24.6, -24.5, -24.7, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
139, -24.6, -24.5, -24.7, -24.6, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7
140, -24.6, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.7, -24.7, -24.8
141, -24.6, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
142, -24.6, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
143, -24.6, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
144, -24.6, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
145, -24.6, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
146, -24.6, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
147, -24.6, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
148, -24.6, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
149, -24.6, -24.5, -24.7, -24.6, -24.6, -24.7, -24.7, -24.8, -24.7, -24.8
