,Left_Z[N],Right_Z[N]
531, 8.5, -24.6
532, 8.5, -24.6
533, 8.5, -24.6
534, 8.5, -24.6
535, 8.5, -24.5
536, 8.5, -24.5
537, 8.5, -24.5
538, 8.5, -24.5
539, 8.5, -24.5
540, 8.5, -24.5
541, 8.5, -24.6
542, 8.5, -24.6
543, 8.5, -24.6
544, 8.5, -24.6
545, 8.5, -24.6
546, 8.5, -24.6
547, 8.5, -24.6
548, 8.5, -24.6
549, 8.5, -24.6
550, 8.5, -24.6
551, 8.5, -24.6
552, 8.5, -24.6
553, 8.5, -24.6
554, 8.5, -24.6
555, 8.5, -24.6
556, 8.5, -24.6
557, 8.5, -24.6
558, 8.5, -24.6
559, 8.5, -24.6
560, 8.5, -24.6
561, 8.5, -24.6
562, 8.5, -24.6
563, 8.5, -24.6
564, 8.5, -24.6
565, 8.5, -24.6
566, 8.5, -24.6
567, 8.5, -24.5
568, 8.5, -24.5
569, 8.5, -24.5
570, 8.5, -24.5
571, 8.5, -24.5
572, 8.5, -24.5
573, 8.5, -24.5
574, 8.5, -24.5
575, 8.5, -24.5
576, 8.4, -24.5
577, 8.4, -24.5
578, 8.4, -24.5
579, 8.4, -24.5
580, 8.4, -24.5
581, 8.4, -24.5
582, 8.4, -24.5
583, 8.4, -24.5
584, 8.4, -24.5
585, 8.4, -24.5
586, 8.4, -24.5
587, 8.4, -24.5
588, 8.4, -24.5
589, 8.4, -24.5
590, 8.4, -24.6
591, 8.4, -24.6
592, 8.4, -24.6
593, 8.4, -24.6
594, 8.4, -24.6
595, 8.4, -24.6
596, 8.4, -24.6
597, 8.4, -24.6
598, 8.4, -24.6
599, 8.4, -24.6
600, 8.4, -24.6
601, 8.4, -24.6
602, 8.4, -24.6
603, 8.4, -24.6
604, 8.4, -24.6
605, 8.4, -24.6
606, 8.4, -24.6
607, 8.4, -24.6
608, 8.4, -24.5
609, 8.4, -24.5
610, 8.4, -24.5
611, 8.4, -24.5
612, 8.4, -24.5
613, 8.4, -24.5
614, 8.4, -24.5
615, 8.4, -24.5
616, 8.5, -24.5
617, 8.5, -24.5
618, 8.5, -24.5
619, 8.5, -24.5
620, 8.6, -24.5
621, 8.6, -24.5
622, 8.6, -24.5
623, 8.6, -24.5
624, 8.6, -24.5
625, 8.6, -24.5
626, 8.6, -24.5
627, 8.6, -24.5
628, 8.7, -24.5
629, 8.7, -24.5
630, 8.7, -24.5
631, 8.7, -24.5
632, 8.7, -24.6
633, 8.7, -24.6
634, 8.7, -24.6
635, 8.7, -24.6
636, 8.7, -24.6
637, 8.7, -24.6
638, 8.7, -24.6
639, 8.7, -24.6
640, 8.7, -24.6
641, 8.7, -24.6
642, 8.7, -24.6
643, 8.7, -24.6
644, 8.7, -24.7
645, 8.7, -24.6
646, 8.7, -24.6
647, 8.6, -24.6
648, 8.6, -24.6
649, 8.6, -24.6
650, 8.6, -24.6
651, 8.6, -24.6
652, 8.6, -24.6
653, 8.5, -24.6
654, 8.5, -24.6
655, 8.5, -24.6
656, 8.5, -24.6
657, 8.5, -24.6
658, 8.5, -24.6
659, 8.5, -24.6
660, 8.5, -24.6
661, 8.5, -24.6
662, 8.5, -24.5
663, 8.5, -24.5
664, 8.5, -24.5
665, 8.4, -24.5
666, 8.4, -24.5
667, 8.4, -24.5
668, 8.4, -24.5
669, 8.4, -24.5
670, 8.4, -24.5
671, 8.4, -24.5
672, 8.4, -24.5
673, 8.4, -24.5
674, 8.4, -24.5
675, 8.4, -24.5
676, 8.4, -24.5
677, 8.4, -24.5
678, 8.4, -24.5
679, 8.4, -24.6
680, 8.4, -24.6
681, 8.4, -24.6
682, 8.4, -24.5
683, 8.4, -24.5
684, 8.4, -24.5
685, 8.4, -24.5
686, 8.4, -24.5
687, 8.4, -24.5
688, 8.4, -24.5
689, 8.4, -24.5
690, 8.4, -24.5
691, 8.4, -24.5
692, 8.4, -24.5
693, 8.4, -24.5
694, 8.4, -24.6
695, 8.4, -24.6
696, 8.4, -24.6
697, 8.4, -24.6
698, 8.4, -24.6
699, 8.4, -24.6
700, 8.4, -24.6
701, 8.4, -24.6
702, 8.4, -24.6
703, 8.4, -24.6
704, 8.4, -24.6
705, 8.4, -24.6
706, 8.4, -24.6
707, 8.4, -24.6
708, 8.4, -24.6
709, 8.4, -24.6
710, 8.4, -24.6
711, 8.4, -24.6
712, 8.4, -24.6
713, 8.4, -24.6
714, 8.4, -24.6
715, 8.4, -24.6
716, 8.4, -24.6
717, 8.4, -24.6
718, 8.4, -24.6
719, 8.4, -24.6
720, 8.4, -24.6
721, 8.4, -24.6
722, 8.4, -24.6
723, 8.4, -24.6
724, 8.4, -24.6
725, 8.4, -24.6
726, 8.4, -24.6
727, 8.4, -24.6
728, 8.4, -24.6
729, 8.5, -24.6
730, 8.5, -24.6
731, 8.5, -24.5
732, 8.5, -24.5
733, 8.5, -24.5
734, 8.5, -24.5
735, 8.5, -24.5
736, 8.5, -24.5
737, 8.5, -24.5
738, 8.5, -24.5
739, 8.5, -24.5
740, 8.5, -24.5
741, 8.5, -24.5
742, 8.5, -24.5
743, 8.5, -24.5
744, 8.5, -24.5
745, 8.5, -24.5
746, 8.5, -24.5
747, 8.5, -24.5
748, 8.5, -24.5
749, 8.5, -24.5
750, 8.5, -24.5
751, 8.5, -24.5
752, 8.5, -24.5
753, 8.5, -24.5
754, 8.5, -24.5
755, 8.5, -24.5
756, 8.5, -24.5
757, 8.5, -24.5
758, 8.5, -24.5
759, 8.5, -24.5
760, 8.5, -24.5
761, 8.5, -24.5
762, 8.5, -24.5
763, 8.5, -24.5
764, 8.5, -24.5
765, 8.5, -24.5
766, 8.5, -24.5
767, 8.5, -24.5
768, 8.5, -24.5
769, 8.4, -24.5
770, 8.4, -24.5
771, 8.4, -24.5
772, 8.4, -24.5
773, 8.4, -24.5
774, 8.4, -24.5
775, 8.4, -24.5
776, 8.4, -24.5
777, 8.4, -24.5
778, 8.4, -24.5
779, 8.4, -24.5
780, 8.4, -24.5
781, 8.4, -24.5
782, 8.4, -24.4
783, 8.4, -24.5
784, 8.4, -24.5
785, 8.4, -24.5
786, 8.4, -24.5
787, 8.4, -24.5
788, 8.4, -24.5
789, 8.4, -24.5
790, 8.4, -24.5
791, 8.4, -24.5
792, 8.4, -24.5
793, 8.4, -24.5
794, 8.4, -24.5
795, 8.4, -24.5
796, 8.4, -24.5
797, 8.4, -24.5
798, 8.4, -24.5
799, 8.4, -24.5
800, 8.4, -24.5
801, 8.4, -24.5
802, 8.4, -24.5
803, 8.4, -24.5
804, 8.4, -24.5
805, 8.4, -24.5
806, 8.4, -24.5
807, 8.4, -24.5
808, 8.4, -24.5
809, 8.4, -24.5
810, 8.4, -24.5
811, 8.4, -24.5
812, 8.4, -24.5
813, 8.4, -24.5
814, 8.4, -24.5
815, 8.4, -24.5
816, 8.4, -24.5
817, 8.4, -24.5
818, 8.4, -24.5
819, 8.4, -24.5
820, 8.4, -24.5
821, 8.4, -24.5
822, 8.4, -24.5
823, 8.4, -24.5
824, 8.4, -24.5
825, 8.4, -24.5
826, 8.4, -24.5
827, 8.4, -24.5
828, 8.4, -24.6
829, 8.4, -24.6
830, 8.4, -24.6
831, 8.4, -24.6
832, 8.4, -24.6
833, 8.4, -24.6
834, 8.4, -24.6
835, 8.4, -24.6
836, 8.4, -24.6
837, 8.4, -24.6
838, 8.4, -24.6
839, 8.4, -24.6
840, 8.4, -24.6
841, 8.4, -24.6
842, 8.4, -24.6
843, 8.4, -24.6
844, 8.4, -24.6
845, 8.5, -24.6
846, 8.5, -24.6
847, 8.5, -24.6
848, 8.5, -24.6
849, 8.5, -24.6
850, 8.5, -24.6
851, 8.5, -24.6
852, 8.5, -24.6
853, 8.5, -24.6
854, 8.5, -24.6
855, 8.5, -24.6
856, 8.5, -24.6
857, 8.5, -24.6
858, 8.5, -24.6
859, 8.5, -24.6
860, 8.5, -24.6
861, 8.5, -24.6
862, 8.5, -24.6
863, 8.5, -24.6
864, 8.5, -24.6
865, 8.5, -24.6
866, 8.5, -24.6
867, 8.5, -24.6
868, 8.5, -24.6
869, 8.5, -24.6
870, 8.5, -24.6
871, 8.5, -24.6
872, 8.4, -24.5
873, 8.4, -24.5
874, 8.4, -24.5
875, 8.4, -24.5
876, 8.4, -24.5
877, 8.4, -24.5
878, 8.4, -24.5
879, 8.4, -24.5
880, 8.4, -24.5
881, 8.4, -24.6
882, 8.4, -24.6
883, 8.4, -24.6
884, 8.4, -24.6
885, 8.4, -24.6
886, 8.4, -24.6
887, 8.4, -24.5
888, 8.4, -24.5
889, 8.4, -24.5
890, 8.4, -24.5
891, 8.4, -24.5
892, 8.4, -24.5
893, 8.4, -24.5
894, 8.4, -24.5
895, 8.4, -24.5
896, 8.4, -24.5
897, 8.4, -24.5
898, 8.4, -24.5
899, 8.4, -24.5
900, 8.4, -24.5
901, 8.4, -24.5
902, 8.5, -24.5
903, 8.5, -24.5
904, 8.5, -24.5
905, 8.5, -24.5
906, 8.6, -24.5
907, 8.6, -24.5
908, 8.6, -24.5
909, 8.6, -24.5
910, 8.6, -24.5
911, 8.6, -24.5
912, 8.6, -24.4
913, 8.6, -24.4
914, 8.6, -24.5
915, 8.6, -24.5
916, 8.6, -24.5
917, 8.6, -24.5
918, 8.6, -24.5
919, 8.6, -24.5
920, 8.6, -24.5
921, 8.5, -24.5
922, 8.5, -24.5
923, 8.5, -24.5
924, 8.5, -24.5
925, 8.5, -24.5
926, 8.5, -24.5
927, 8.5, -24.5
928, 8.5, -24.5
929, 8.5, -24.5
930, 8.5, -24.5
931, 8.5, -24.5
932, 8.5, -24.5
933, 8.5, -24.5
934, 8.4, -24.6
935, 8.4, -24.6
936, 8.4, -24.6
937, 8.4, -24.6
938, 8.4, -24.6
939, 8.4, -24.6
940, 8.4, -24.5
941, 8.4, -24.5
942, 8.4, -24.5
943, 8.5, -24.5
944, 8.5, -24.5
945, 8.5, -24.5
946, 8.5, -24.5
947, 8.5, -24.5
948, 8.5, -24.5
949, 8.5, -24.5
950, 8.5, -24.5
951, 8.5, -24.5
952, 8.5, -24.5
953, 8.5, -24.5
954, 8.5, -24.5
955, 8.5, -24.5
956, 8.5, -24.5
957, 8.5, -24.5
958, 8.5, -24.5
959, 8.5, -24.5
960, 8.5, -24.5
961, 8.5, -24.5
962, 8.5, -24.5
963, 8.4, -24.5
964, 8.4, -24.5
965, 8.4, -24.5
966, 8.4, -24.5
967, 8.4, -24.5
968, 8.4, -24.5
969, 8.4, -24.5
970, 8.4, -24.5
971, 8.4, -24.5
972, 8.4, -24.5
973, 8.4, -24.5
974, 8.4, -24.5
975, 8.4, -24.5
976, 8.4, -24.5
977, 8.4, -24.5
978, 8.4, -24.5
979, 8.4, -24.5
980, 8.4, -24.5
981, 8.4, -24.5
982, 8.4, -24.5
983, 8.4, -24.6
984, 8.4, -24.6
985, 8.4, -24.6
986, 8.4, -24.6
987, 8.4, -24.6
988, 8.4, -24.6
989, 8.4, -24.6
990, 8.4, -24.6
991, 8.4, -24.6
992, 8.4, -24.6
993, 8.4, -24.6
994, 8.4, -24.6
995, 8.4, -24.6
996, 8.4, -24.6
997, 8.4, -24.6
998, 8.4, -24.6
999, 8.4, -24.6
1000, 8.4, -24.6
1001, 8.4, -24.6
1002, 8.4, -24.6
1003, 8.4, -24.6
1004, 8.4, -24.6
1005, 8.4, -24.6
1006, 8.4, -24.6
1007, 8.4, -24.6
1008, 8.4, -24.6
1009, 8.4, -24.6
1010, 8.4, -24.6
1011, 8.4, -24.5
1012, 8.4, -24.5
1013, 8.4, -24.5
1014, 8.4, -24.5
1015, 8.4, -24.5
1016, 8.4, -24.5
1017, 8.4, -24.5
1018, 8.4, -24.5
1019, 8.4, -24.5
1020, 8.4, -24.5
1021, 8.4, -24.6
1022, 8.4, -24.6
1023, 8.4, -24.6
1024, 8.4, -24.6
1025, 8.4, -24.6
1026, 8.4, -24.6
1027, 8.4, -24.6
1028, 8.4, -24.5
1029, 8.4, -24.5
1030, 8.4, -24.5
1031, 8.4, -24.5
1032, 8.4, -24.5
1033, 8.4, -24.5
1034, 8.4, -24.5
1035, 8.4, -24.5
1036, 8.4, -24.5
1037, 8.4, -24.5
1038, 8.4, -24.5
1039, 8.4, -24.5
1040, 8.5, -24.5
1041, 8.5, -24.5
1042, 8.5, -24.5
1043, 8.5, -24.5
1044, 8.5, -24.5
1045, 8.5, -24.5
1046, 8.5, -24.5
1047, 8.5, -24.5
1048, 8.5, -24.5
1049, 8.5, -24.5
1050, 8.5, -24.5
1051, 8.5, -24.5
1052, 8.5, -24.5
1053, 8.5, -24.5
1054, 8.5, -24.5
1055, 8.5, -24.5
1056, 8.5, -24.5
1057, 8.5, -24.5
1058, 8.5, -24.5
1059, 8.5, -24.5
1060, 8.5, -24.5
1061, 8.5, -24.5
1062, 8.5, -24.5
1063, 8.5, -24.5
1064, 8.5, -24.5
1065, 8.5, -24.5
1066, 8.4, -24.5
1067, 8.4, -24.5
1068, 8.4, -24.5
1069, 8.4, -24.5
1070, 8.4, -24.5
1071, 8.4, -24.5
1072, 8.4, -24.5
1073, 8.4, -24.5
1074, 8.5, -24.6
1075, 8.5, -24.7
1076, 8.5, -24.7
1077, 8.5, -24.7
1078, 8.5, -24.7
1079, 8.5, -24.7
1080, 8.5, -24.7
1081, 8.5, -24.7
1082, 8.5, -24.7
1083, 8.5, -24.7
1084, 8.5, -24.6
1085, 8.5, -24.6
1086, 8.5, -24.6
1087, 8.5, -24.6
1088, 8.5, -24.6
1089, 8.5, -24.6
1090, 8.5, -24.6
1091, 8.5, -24.6
1092, 8.5, -24.6
1093, 8.5, -24.6
1094, 8.5, -24.6
