,Left_Z[N],Right_Z[N]
396, 10.3, -23.7
397, 10.3, -23.7
398, 10.3, -23.7
399, 10.4, -23.7
400, 10.4, -23.7
401, 10.4, -23.7
402, 10.4, -23.7
403, 10.4, -23.7
404, 10.4, -23.7
405, 10.5, -23.7
406, 10.5, -23.7
407, 10.5, -23.7
408, 10.5, -23.7
409, 10.5, -23.7
410, 10.5, -23.7
411, 10.5, -23.7
412, 10.5, -23.7
413, 10.5, -23.7
414, 10.5, -23.7
415, 10.5, -23.7
416, 10.5, -23.8
417, 10.5, -23.8
418, 10.5, -23.8
419, 10.5, -23.8
420, 10.5, -23.8
421, 10.5, -23.8
422, 10.5, -23.8
423, 10.5, -23.8
424, 10.5, -23.8
425, 10.5, -23.8
426, 10.5, -23.8
427, 10.5, -23.8
428, 10.5, -23.8
429, 10.5, -23.8
430, 10.5, -23.8
431, 10.5, -23.8
432, 10.5, -23.8
433, 10.5, -23.8
434, 10.5, -23.8
435, 10.5, -23.8
436, 10.4, -23.8
437, 10.4, -23.8
438, 10.4, -23.8
439, 10.4, -23.8
440, 10.4, -23.8
441, 10.4, -23.8
442, 10.4, -23.8
443, 10.4, -23.8
444, 10.4, -23.8
445, 10.4, -23.7
446, 10.4, -23.7
447, 10.4, -23.7
448, 10.4, -23.7
449, 10.4, -23.7
450, 10.4, -23.7
451, 10.4, -23.7
452, 10.4, -23.7
453, 10.4, -23.7
454, 10.4, -23.7
455, 10.4, -23.7
456, 10.4, -23.7
457, 10.4, -23.7
458, 10.4, -23.7
459, 10.4, -23.7
460, 10.4, -23.7
461, 10.4, -23.7
462, 10.4, -23.7
463, 10.4, -23.7
464, 10.4, -23.7
465, 10.4, -23.7
466, 10.4, -23.7
467, 10.4, -23.7
468, 10.4, -23.7
469, 10.4, -23.7
470, 10.4, -23.6
471, 10.4, -23.6
472, 10.4, -23.6
473, 10.4, -23.6
474, 10.4, -23.6
475, 10.4, -23.7
476, 10.4, -23.7
477, 10.4, -23.7
478, 10.4, -23.7
479, 10.4, -23.7
480, 10.4, -23.7
481, 10.4, -23.7
482, 10.4, -23.7
483, 10.4, -23.7
484, 10.4, -23.7
485, 10.4, -23.7
486, 10.4, -23.7
487, 10.4, -23.7
488, 10.4, -23.7
489, 10.4, -23.7
490, 10.4, -23.7
491, 10.4, -23.7
492, 10.4, -23.7
493, 10.4, -23.7
494, 10.4, -23.8
495, 10.3, -23.8
496, 10.3, -23.8
497, 10.3, -23.8
498, 10.3, -23.8
499, 10.3, -23.8
500, 10.3, -23.8
501, 10.3, -23.8
502, 10.3, -23.8
503, 10.3, -23.7
504, 10.3, -23.7
505, 10.3, -23.7
506, 10.3, -23.7
507, 10.3, -23.7
508, 10.3, -23.7
509, 10.4, -23.7
510, 10.4, -23.7
511, 10.4, -23.7
512, 10.3, -23.7
513, 10.3, -23.7
514, 10.3, -23.7
515, 10.3, -23.7
516, 10.3, -23.7
517, 10.4, -23.7
518, 10.4, -23.7
519, 10.4, -23.7
520, 10.4, -23.7
521, 10.4, -23.7
522, 10.4, -23.7
523, 10.4, -23.7
524, 10.4, -23.7
525, 10.4, -23.7
526, 10.4, -23.7
527, 10.4, -23.7
528, 10.4, -23.7
529, 10.4, -23.7
530, 10.4, -23.6
531, 10.4, -23.6
532, 10.4, -23.6
533, 10.4, -23.6
534, 10.3, -23.6
535, 10.3, -23.6
536, 10.3, -23.6
537, 10.3, -23.5
538, 10.3, -23.5
539, 10.3, -23.5
540, 10.3, -23.5
541, 10.3, -23.5
542, 10.3, -23.5
543, 10.3, -23.5
544, 10.3, -23.5
545, 10.3, -23.6
546, 10.3, -23.6
547, 10.3, -23.6
548, 10.3, -23.6
549, 10.3, -23.6
550, 10.3, -23.6
551, 10.3, -23.6
552, 10.3, -23.6
553, 10.3, -23.6
554, 10.3, -23.6
555, 10.3, -23.6
556, 10.3, -23.6
557, 10.3, -23.6
558, 10.3, -23.6
559, 10.3, -23.6
560, 10.3, -23.7
561, 10.3, -23.6
562, 10.3, -23.6
563, 10.3, -23.6
564, 10.3, -23.6
565, 10.3, -23.6
566, 10.3, -23.6
567, 10.3, -23.6
568, 10.3, -23.6
569, 10.3, -23.6
570, 10.3, -23.6
571, 10.3, -23.6
572, 10.3, -23.6
573, 10.3, -23.6
574, 10.3, -23.6
575, 10.3, -23.6
576, 10.3, -23.7
577, 10.3, -23.7
578, 10.3, -23.7
579, 10.3, -23.7
580, 10.3, -23.7
581, 10.3, -23.7
582, 10.3, -23.7
583, 10.3, -23.7
584, 10.3, -23.7
585, 10.3, -23.7
586, 10.3, -23.7
587, 10.3, -23.7
588, 10.3, -23.7
589, 10.3, -23.7
590, 10.3, -23.7
591, 10.3, -23.7
592, 10.3, -23.7
593, 10.3, -23.7
594, 10.3, -23.7
595, 10.3, -23.7
596, 10.3, -23.7
597, 10.3, -23.7
598, 10.3, -23.7
599, 10.3, -23.7
600, 10.3, -23.7
601, 10.3, -23.7
602, 10.3, -23.7
603, 10.3, -23.7
604, 10.3, -23.7
605, 10.3, -23.7
606, 10.3, -23.7
607, 10.3, -23.7
608, 10.4, -23.7
609, 10.4, -23.7
610, 10.4, -23.7
611, 10.4, -23.7
612, 10.4, -23.7
613, 10.4, -23.7
614, 10.4, -23.7
615, 10.4, -23.7
616, 10.4, -23.7
617, 10.4, -23.7
618, 10.4, -23.7
619, 10.4, -23.7
620, 10.4, -23.7
621, 10.4, -23.6
622, 10.4, -23.6
623, 10.4, -23.6
624, 10.4, -23.6
625, 10.4, -23.6
626, 10.4, -23.6
627, 10.4, -23.6
628, 10.4, -23.6
629, 10.4, -23.6
630, 10.4, -23.6
631, 10.4, -23.6
632, 10.4, -23.6
633, 10.4, -23.6
634, 10.4, -23.6
635, 10.4, -23.6
636, 10.4, -23.6
637, 10.4, -23.6
638, 10.4, -23.6
639, 10.4, -23.5
640, 10.4, -23.5
641, 10.4, -23.6
642, 10.4, -23.6
643, 10.4, -23.6
644, 10.5, -23.6
645, 10.5, -23.6
646, 10.5, -23.6
647, 10.4, -23.6
648, 10.4, -23.6
649, 10.4, -23.6
650, 10.4, -23.6
651, 10.4, -23.6
652, 10.4, -23.6
653, 10.4, -23.6
654, 10.4, -23.6
655, 10.4, -23.6
656, 10.4, -23.6
657, 10.5, -23.6
658, 10.4, -23.6
659, 10.4, -23.6
660, 10.4, -23.6
661, 10.4, -23.6
662, 10.4, -23.6
663, 10.4, -23.6
664, 10.4, -23.6
665, 10.4, -23.6
666, 10.4, -23.6
667, 10.4, -23.6
668, 10.4, -23.7
669, 10.4, -23.7
670, 10.4, -23.7
671, 10.4, -23.7
672, 10.4, -23.7
673, 10.4, -23.7
674, 10.4, -23.7
675, 10.4, -23.7
676, 10.4, -23.7
677, 10.4, -23.7
678, 10.4, -23.7
679, 10.4, -23.7
680, 10.4, -23.7
681, 10.4, -23.7
682, 10.4, -23.7
683, 10.4, -23.7
684, 10.4, -23.7
685, 10.4, -23.7
686, 10.4, -23.7
687, 10.4, -23.7
688, 10.4, -23.7
689, 10.4, -23.6
690, 10.4, -23.6
691, 10.4, -23.6
692, 10.4, -23.6
693, 10.4, -23.6
694, 10.4, -23.6
695, 10.4, -23.6
696, 10.4, -23.6
697, 10.4, -23.6
