,Left_Z[N],Right_Z[N]
403, 17.1, -22.4
404, 17.1, -22.4
405, 17.1, -22.4
406, 17.1, -22.4
407, 17.1, -22.4
408, 17.1, -22.4
409, 17.1, -22.4
410, 17.1, -22.4
411, 17.1, -22.4
412, 17.1, -22.4
413, 17.1, -22.4
414, 17.1, -22.4
415, 17.1, -22.4
416, 17.1, -22.4
417, 17.1, -22.4
418, 17.1, -22.5
419, 17.1, -22.5
420, 17.1, -22.5
421, 17.1, -22.4
422, 17.1, -22.4
423, 17.1, -22.5
424, 17.1, -22.5
425, 17.1, -22.5
426, 17.1, -22.5
427, 17.1, -22.5
428, 17.1, -22.5
429, 17.1, -22.5
430, 17.1, -22.5
431, 17.1, -22.5
432, 17.1, -22.5
433, 17.1, -22.5
434, 17.1, -22.5
435, 17.1, -22.5
436, 17.1, -22.5
437, 17.1, -22.4
438, 17.1, -22.4
439, 17.1, -22.4
440, 17.1, -22.5
441, 17.1, -22.5
442, 17.1, -22.5
443, 17.1, -22.5
444, 17.1, -22.5
445, 17.2, -22.5
446, 17.2, -22.5
447, 17.2, -22.5
448, 17.2, -22.5
449, 17.2, -22.5
450, 17.1, -22.5
451, 17.1, -22.5
452, 17.1, -22.5
453, 17.1, -22.5
454, 17.1, -22.5
455, 17.1, -22.5
456, 17.1, -22.5
457, 17.1, -22.5
458, 17.1, -22.5
459, 17.1, -22.5
460, 17.1, -22.4
461, 17.1, -22.4
462, 17.1, -22.4
463, 17.1, -22.4
464, 17.1, -22.4
465, 17.1, -22.4
466, 17.1, -22.5
467, 17.1, -22.5
468, 17.1, -22.5
469, 17.1, -22.5
470, 17.1, -22.5
471, 17.1, -22.5
472, 17.1, -22.5
473, 17.1, -22.5
474, 17.1, -22.5
475, 17.1, -22.5
476, 17.1, -22.5
477, 17.1, -22.4
478, 17.1, -22.4
479, 17.1, -22.4
480, 17.1, -22.4
481, 17.1, -22.4
482, 17.1, -22.4
483, 17.1, -22.4
484, 17.1, -22.4
485, 17.1, -22.4
486, 17.1, -22.4
487, 17.1, -22.4
488, 17.1, -22.4
489, 17.1, -22.4
490, 17.1, -22.4
491, 17.1, -22.4
492, 17.1, -22.4
493, 17.1, -22.4
494, 17.1, -22.5
495, 17.1, -22.5
496, 17.1, -22.5
497, 17.1, -22.4
498, 17.1, -22.4
499, 17.1, -22.4
500, 17.1, -22.4
501, 17.1, -22.4
502, 17.1, -22.4
503, 17.1, -22.3
504, 17.1, -22.3
505, 17.1, -22.3
506, 17.1, -22.3
507, 17.1, -22.3
508, 17.1, -22.3
509, 17.1, -22.3
